elastic_FP,elastic_heap,tam,item
3249,2,3735,4246
1082,4,3736,23146
962,4,3737,24186
1512,2,3738,19285
3724,1,3739,140
216,5,3740,30909
707,3,3741,26397
134,6,3742,31704
2299,3,3743,12293
1649,4,3744,18070
3432,1,3745,2821
3716,1,3746,255
3681,2,3747,557
3323,2,3748,3709
1414,4,3749,20078
845,4,3750,25257
871,4,3751,25025
1581,2,3752,18769
1054,2,3753,23435
2669,1,3754,9164
3713,1,3755,299
525,4,3756,28124
819,3,3757,25547
2345,1,3758,11947
751,5,3759,26095
964,3,3760,24233
2587,2,3761,9819
1329,2,3762,20816
1749,2,3763,17221
616,5,3764,27162
1851,2,3765,16364
978,2,3766,24118
674,4,3767,26631
3271,1,3768,4277
2553,2,3769,10166
1693,2,3770,17734
1739,3,3771,17358
3602,1,3772,1471
74,8,3773,32189
2044,1,3774,14596
1648,2,3775,18265
2865,1,3776,7692
3361,1,3777,3667
2181,2,3778,13323
2675,2,3779,9262
2773,1,3780,8469
2353,1,3781,11998
388,4,3782,29367
2338,2,3783,12163
2316,2,3784,12363
1169,3,3785,22491
2151,1,3786,13601
558,2,3787,27742
2055,1,3788,14507
2809,1,3789,8227
1014,1,3790,23888
3761,1,3791,252
2739,1,3792,8851
85,7,3793,32109
1928,1,3794,15789
2963,1,3795,7024
2196,2,3796,13268
523,3,3797,28181
2450,1,3798,11192
3527,1,3799,2444
1165,3,3800,22536
471,3,3801,28700
2469,1,3802,11002
3572,1,3803,2052
1767,2,3804,17190
639,3,3805,26991
1736,1,3806,17466
3423,1,3807,3281
2756,2,3808,8787
781,4,3809,25964
1030,3,3810,23796
3304,2,3811,4308
1422,3,3812,20219
1527,2,3813,19362
2736,1,3814,8967
2938,2,3815,7356
2087,2,3816,14369
365,6,3817,29656
921,3,3818,24750
2931,1,3819,7465
297,6,3820,30195
2001,1,3821,15185
1491,1,3822,19633
1804,2,3823,16913
1996,1,3824,15266
21,8,3825,32591
2490,1,3826,10973
544,4,3827,28004
